,LandCapability,SqFt,Acres
0,1A,-2744.0,-0.06299357208448117
1,1B,-69896.0,-1.604591368227732
2,1C,0.0,0.0
3,2,0.0,0.0
4,3,0.0,0.0
5,4,54280.80645255,1.2461158506095042
6,5,-23736.930107360007,-0.5449249335941232
7,6,313947.36559433,7.207239797849633
8,7,967874.5645136,22.219342619687787
