Parcel,Jurisdiction,Bailey1a,Bailey1b,Bailey1c,Bailey2,Bailey3,Bailey4,Bailey5,Bailey6,Bailey7
117-072-006,PL,,-1304,,,,,,,
015-370-027,EL,,-6,,,,,,,
015-370-028,EL,,-6,,,,,,,
130-331-05,WA,,-2,,,,,,,
030-351-004,CSLT,,-14,,,,,,,
030-362-005,CSLT,,-347,,,,,,,
027-344-055,CSLT,,-127,,,,,,,
097-140-003,PL,,-6199,,,,,,,
1318-15-601-005,DG,,,,,,-462,,,
1318-03-110-024,DG,,,,,,-99,,,
090-074-008,PL,,,,,,,-126,,
097-140-003,PL,,,,,,,-23822,,
130-213-10,WA,,,,,,,,-221,
130-302-26,WA,,,,,,,,-4090,
124-071-52,WA,,,,,,,,-13285,
1318-22-002-103,DG,,-22053,,,,,,,
035-224-009,EL,,,,,,,-803,,
034-300-010,EL,,-35548,,,,,,,
034-300-010,EL,,,,,,,-117072,,
