Observed.t,Time.t
7.0,0
12.0,1
8.0,2
15.0,3
14.0,4
10.0,5
12.0,6
18.0,7
7.0,8
6.0,9
11.0,10
16.0,11
9.0,12
17.0,13
11.0,14
15.0,15
21.0,16
25.0,17
24.0,18
27.0,19
22.0,20
19.0,21
24.0,22
42.0,23
31.0,24
21.0,25
